TransactionID,AccountID,TransactionDate,TransactionType,Amount,PaymentMode,Status
TXN9001,ACC7001,2024-05-16,Credit,9999.0,ATM,Success
TXN9002,ACC7003,2024-05-31,Credit,15500.0,ATM,Success
TXN9003,ACC7003,2024-05-24,Credit,500.0,ATM,Success
TXN9004,ACC7009,2024-05-24,Withdrawal,-15500.0,IMPS,Success
TXN9005,ACC7010,2024-05-03,Credit,500.0,IMPS,Success
TXN9006,ACC7004,2024-05-07,Debit,-9999.0,NEFT,Pending
TXN9007,ACC7004,2024-05-07,Reversal,2500.0,IMPS,Pending
TXN9008,ACC7011,2024-05-18,Credit,5000.0,ATM,Success
TXN9009,ACC7003,2024-05-07,Deposit,9999.0,UPI,Success
TXN9010,ACC7012,2024-05-17,Withdrawal,-2500.0,ATM,Failed
TXN9011,ACC7012,2024-05-12,Deposit,6800.0,ATM,Failed
TXN9012,ACC7001,2024-05-09,Debit,-4000.0,NEFT,Pending
TXN9013,ACC7007,2024-05-16,Reversal,6800.0,ATM,Success
TXN9014,ACC7005,2024-05-29,Deposit,15500.0,Credit Card,Pending
TXN9015,ACC7011,2024-05-10,Credit,1200.0,ATM,Success
TXN9016,ACC7010,2024-05-12,Reversal,850.0,IMPS,Success
TXN9017,ACC7005,2024-05-21,Deposit,850.0,IMPS,Success
TXN9018,ACC7006,2024-05-15,Withdrawal,-500.0,Credit Card,Success
TXN9019,ACC7005,2024-05-04,Reversal,850.0,ATM,Success
TXN9020,ACC7006,2024-05-06,Reversal,2500.0,IMPS,Success
TXN9021,ACC7008,2024-05-20,Refund,4000.0,NEFT,Pending
TXN9022,ACC7008,2024-05-21,Refund,500.0,UPI,Failed
TXN9023,ACC7003,2024-05-26,Reversal,12000.0,UPI,Success
TXN9024,ACC7008,2024-05-25,Withdrawal,-6800.0,ATM,Success
TXN9025,ACC7002,2024-05-13,Refund,4000.0,IMPS,Success
TXN9026,ACC7001,2024-05-05,Credit,500.0,Credit Card,Success
TXN9027,ACC7004,2024-05-31,Debit,-1200.0,Credit Card,Failed
TXN9028,ACC7009,2024-05-23,Refund,15500.0,Credit Card,Failed
TXN9029,ACC7004,2024-05-17,Deposit,12000.0,NEFT,Failed
TXN9030,ACC7006,2024-05-05,Debit,-850.0,Credit Card,Success
TXN9031,ACC7012,2024-05-07,Debit,-9999.0,Credit Card,Success
TXN9032,ACC7001,2024-05-28,Reversal,850.0,IMPS,Success
TXN9033,ACC7003,2024-05-08,Withdrawal,-4000.0,ATM,Failed
TXN9034,ACC7012,2024-05-10,Refund,2500.0,NEFT,Success
TXN9035,ACC7001,2024-05-16,Refund,4000.0,NEFT,Pending
TXN9036,ACC7004,2024-05-14,Reversal,6800.0,ATM,Failed
