TransactionID,AccountID,TransactionDate,TransactionType,Amount,PaymentMode,Status
TXN9001,ACC7001,2024-05-16,Credit,Rs. 9999,ATM,SUCCESS
TXN9002,ACC7003,31-May-2024,Credit,15500,ATM,Success
TXN9003,ACC7003,2024-05-24,Credit,500,ATM,SUCCESS
TXN9004,ACC7009,24-May-2024,Withdrawal,-₹15500,IMPS,Success
TXN9005,ACC7010,2024-05-03,Credit,500,IMPS,Success
TXN9006,ACC7004,07/05/2024,Debit,-9999,NEFT,Pending
TXN9007,ACC7004,07/05/2024,Reversal,2500,IMPS,Pending
TXN9008,ACC7011,2024-05-18,Credit,-5000,ATM,Success
TXN9009,ACC7003,07-May-2024,Deposit,Rs.9999,upi,Success
TXN9010,ACC7012,2024-05-17,Withdrawal,-2500,ATM,Failed
TXN9011,ACC7012,2024-05-12,Deposit,6800,ATM,Failed
TXN9012,ACC7001,2024-05-09,Debit,-4000,NEFT,Pending
TXN9013,ACC7007,2024-05-16,Reversal,6800,ATM,SUCCESS
TXN9014,ACC7005,29/05/2024,Deposit,15500,Credit Card,Pending
TXN9015,ACC7011,2024-05-10,Credit,1200,ATM,SUCCESS
TXN9016,ACC7010,12/05/2024,Reversal,850,IMPS,Success
TXN9017,ACC7005,21-May-2024,Deposit,850,IMPS,SUCCESS
TXN9018,ACC7006,2024-05-15,Withdrawal,-500,Credit Card,Success
TXN9019,ACC7005,2024-05-04,Reversal,850,ATM,Success
TXN9020,ACC7006,2024-05-06,Reversal,abc,IMPS,Success
TXN9021,ACC7008,2024-05-20,Refund,4000,NEFT,Pending
TXN9022,ACC7008,2024-05-21,Refund,₹500,upi,Failed
TXN9023,ACC7003,2024-05-26,Reversal,12000,upi,Success
TXN9024,ACC7008,25-May-2024,Withdrawal,-6800,ATM,Success
TXN9025,ACC7002,2024-05-13,Refund,4000,IMPS,Success
TXN9026,ACC7001,05-May-2024,Credit,500,Credit Card,SUCCESS
TXN9027,ACC7004,31-May-2024,Debit,-1200,Credit Card,Failed
TXN9028,ACC7009,2024-05-23,Refund,"Rs. 15,500",Credit Card,Failed
TXN9029,ACC7004,17/05/2024,Deposit,12000,NEFT,Failed
TXN9030,ACC7006,05-May-2024,Debit,-850,Credit Card,Success
TXN9031,ACC7012,07-May-2024,Debit,-9999,Credit Card,Success
TXN9032,ACC7001,28/05/2024,Reversal,850,IMPS,Success
TXN9033,ACC7003,08-May-2024,Withdrawal,-4000,ATM,Failed
TXN9034,ACC7012,2024-05-10,Refund,2500,NEFT,Success
TXN9035,ACC7001,16/05/2024,Refund,4000,NEFT,Pending
TXN9036,ACC7004,2024-05-14,Reversal,6800,ATM,Failed
